1,2,3,,,,,,,
0.838544524,0.995833333,1,1,0.826271186,0.673269231,0.650913423,0.818920676,1,1
1,1,0.957446809,0.919729207,0.76440678,0.611923077,0.582704527,0.655830082,0.748496762,0.824100809
0.549917718,0.558333333,0.554964539,0.569632495,0.564830508,0.548076923,0.548153296,0.625812744,0.745027752,0.959594339
0.587127446,0.671666667,0.710992908,0.739845261,0.715254237,0.629615385,0.600774424,0.701560468,0.818802035,0.794086194
0.592795758,0.736666667,0.82358156,0.971953578,1,1,1,1,0.76352914,0.606512672
0.929968916,0.8375,0.858156028,0.911992263,0.781355932,0.632692308,0.59432089,0.656805375,0.693802035,0.713987809
0.716675809,0.760833333,0.771276596,0.774661509,0.701694915,0.617307692,0.582307387,0.615409623,0.651364477,0.750632731
0.622782958,0.6975,0.729609929,0.773694391,0.736440678,0.610769231,0.572478157,0.624403988,0.668015726,0.749991088
0.552020479,0.565,0.588652482,0.596711799,0.621610169,0.589230769,0.600575854,0.706762029,0.732308048,0.681424447
0.788169684,0.828333333,0.860815603,0.858800774,0.73559322,0.608846154,0.572478157,0.619310793,0.646160962,0.628417638
0.531267142,0.54,0.550531915,0.539651838,0.556779661,0.544423077,0.567116759,0.669809276,0.740633673,0.687609168
0.543518011,0.560833333,0.581560284,0.602514507,0.597881356,0.569423077,0.56403892,0.647160815,0.713691027,0.686343707
0.796032181,0.895833333,0.835992908,0.905222437,0.736440678,0.649615385,0.589853058,0.621803208,0.645698427,0.57222044
0.571219601,0.570833333,0.565602837,0.593810445,0.563135593,0.532884615,0.529884829,0.57845687,0.633441258,0.6517663
0.519107698,0.53,0.558510638,0.579303675,0.553813559,0.552115385,0.573868149,0.678803641,0.702590194,0.617848358
0.544249406,0.563333333,0.57358156,0.589941973,0.565677966,0.536538462,0.528097697,0.574338968,0.627312673,0.634851887
0.524684586,0.530833333,0.540780142,0.549323017,0.534745763,0.524038462,0.518069897,0.547030776,0.609158187,0.639058211
0.62177729,0.663333333,0.641843972,0.630560928,0.587288136,0.535576923,0.52333201,0.543129606,0.571808511,0.614782733
0.522581825,0.551666667,0.538120567,0.566731141,0.565254237,0.558461538,0.558776807,0.616818379,0.659805735,0.591986597
0.52788444,0.541666667,0.534574468,0.551257253,0.53559322,0.523076923,0.524126291,0.549306459,0.591234968,0.610665526
0.555951728,0.578333333,0.589539007,0.623791103,0.569491525,0.544423077,0.539515488,0.566970091,0.594357077,0.591915303
0.551106235,0.535,0.546099291,0.562862669,0.549152542,0.538269231,0.549146148,0.589185089,0.605689177,0.58954479
0.523404644,0.5225,0.531028369,0.521276596,0.526271186,0.513653846,0.512609214,0.532401387,0.557354302,0.618828646
0.672700677,0.7275,0.69858156,0.712765957,0.644491525,0.573076923,0.554308975,0.572930212,0.57620259,0.550850176
0.721795575,0.8175,0.84929078,0.827852998,0.677118644,0.569807692,0.527104845,0.531317729,0.537927845,0.542455352
0.51435363,0.545,0.580673759,0.63926499,0.646186441,0.634807692,0.654586974,0.691482445,0.597479186,0.531743486
0.513987932,0.528333333,0.537234043,0.543520309,0.530932203,0.525769231,0.53028197,0.570329432,0.625578168,0.587548569
0.752422746,0.780833333,0.831560284,0.785299807,0.686440678,0.574807692,0.537132645,0.538036411,0.534921369,0.528089687
0.677911867,0.698333333,0.649822695,0.747582205,0.609322034,0.560384615,0.537529786,0.551257044,0.552150786,0.547338966
0.53538124,0.571666667,0.593085106,0.590909091,0.563559322,0.536153846,0.529984114,0.55786736,0.579440333,0.581666845
0.526878771,0.549166667,0.567375887,0.554158607,0.558050847,0.541153846,0.549146148,0.599046381,0.620721554,0.565340605
0.937191443,0.733333333,0.664893617,0.604448743,0.551694915,0.522884615,0.513602065,0.520156047,0.519310823,0.51392008
0.50895959,0.535,0.531028369,0.548355899,0.555932203,0.555576923,0.553514694,0.610424794,0.629047179,0.563005739
0.553666118,0.575,0.594858156,0.599613153,0.571186441,0.5325,0.525317712,0.538144777,0.562789084,0.578904217
0.652221613,0.711666667,0.670212766,0.734042553,0.638559322,0.571923077,0.539912629,0.550715215,0.551919519,0.539371903
0.553848967,0.5825,0.578014184,0.605415861,0.572457627,0.531923077,0.524622716,0.544646727,0.560013876,0.572594731
0.529987201,0.548333333,0.55141844,0.560928433,0.56059322,0.530384615,0.528395552,0.55916775,0.599791859,0.56641001
0.504936917,0.511666667,0.515957447,0.521276596,0.524576271,0.523846154,0.527998411,0.574013871,0.618524514,0.566944712
0.516456391,0.53,0.531914894,0.540618956,0.524576271,0.519615385,0.521048451,0.541937581,0.573889917,0.577175347
0.506125434,0.5075,0.515070922,0.528046422,0.523728814,0.523269231,0.528594122,0.566970091,0.586956522,0.57222044
0.530078625,0.54,0.542553191,0.566731141,0.543644068,0.528076923,0.530182685,0.562093628,0.576665125,0.565001961
0.534192723,0.5625,0.565602837,0.570599613,0.554237288,0.532307692,0.522339158,0.543346337,0.566258094,0.568281467
0.507222527,0.5125,0.512411348,0.536750484,0.531779661,0.527115385,0.538721207,0.603272648,0.605342276,0.557141839
0.50831962,0.505833333,0.513297872,0.51934236,0.521186441,0.514615385,0.529487689,0.576506285,0.589847364,0.565108901
0.724081185,0.708333333,0.717198582,0.680851064,0.613983051,0.552115385,0.527501986,0.540312094,0.532261795,0.519249278
0.519016274,0.5175,0.52393617,0.51934236,0.511016949,0.511346154,0.511517077,0.524924144,0.542784459,0.57473354
0.505485464,0.5175,0.531914894,0.555125725,0.545338983,0.539230769,0.547557585,0.588426528,0.618640148,0.543203935
0.506399707,0.513333333,0.508865248,0.523210832,0.513135593,0.514423077,0.517672756,0.563935847,0.599213691,0.558959826
0.622417261,0.659166667,0.647163121,0.671179884,0.605508475,0.547692308,0.531076251,0.539986996,0.538621647,0.530941432
0.505028342,0.528333333,0.536347518,0.558994197,0.55720339,0.555384615,0.561953932,0.608474209,0.593663275,0.53119096
0.510239532,0.525,0.544326241,0.549323017,0.538983051,0.541153846,0.545869738,0.589293455,0.592738205,0.538338146
0.506399707,0.516666667,0.514184397,0.529980658,0.526694915,0.528461538,0.529289118,0.563502384,0.586147086,0.549994653
0.543426586,0.598333333,0.639184397,0.698259188,0.654661017,0.656730769,0.58141382,0.55916775,0.52833025,0.516860942
0.504205522,0.518333333,0.520390071,0.52417795,0.531779661,0.522692308,0.529586974,0.570004335,0.590888067,0.547160731
0.505851161,0.525833333,0.528368794,0.566731141,0.554237288,0.551153846,0.570889595,0.622236671,0.580365402,0.525647881
0.634211007,0.701666667,0.679078014,0.691489362,0.606355932,0.548076923,0.520552025,0.524707412,0.527752081,0.52062168
0.502742732,0.510833333,0.503546099,0.51450677,0.515254237,0.508653846,0.518367752,0.558734287,0.573658649,0.551634406
0.504388371,0.506666667,0.511524823,0.521276596,0.51440678,0.515192308,0.526409849,0.574772432,0.60326087,0.538944141
0.770981898,0.753333333,0.692375887,0.66344294,0.567372881,0.518076923,0.505758539,0.506393585,0.505087882,0.502210102
